tick,sol,sensor.temperature,sensor.wind_speed,sensor.solar_irradiance,sensor.day_phase,sensor.dust,energy.generated,energy.solar_gen,energy.wind_gen,energy.nuclear_gen,energy.consumed,energy.delta,energy.battery,energy.predicted_delta,energy.slope,energy.level,event.active,energy.alert
25,1,-29.150854867020477,25.211080437257518,36.12130726568656,0.0170370868554659,0.6339009575655216,49.4,0.03,9.38,40.0,46.0,3.4,71.04,22.1,1.5778,HIGH,Sandstorm,Geração: 49.4 kW  Consumo: 46.0 kW  Saldo: +3.4 kW
26,1,-28.661227610045838,25.247217972999316,37.61182669532883,0.06698729810778065,0.6154411513230009,49.49,0.11,9.38,40.0,46.0,3.49,71.39,20.68,1.4052,HIGH,Sandstorm,Geração: 49.5 kW  Consumo: 46.0 kW  Saldo: +3.5 kW
27,1,-28.51540445963446,24.259389112743545,35.16707170183473,0.14644660940672627,0.6008737673768512,68.78,0.23,28.55,40.0,46.0,22.78,73.67,19.44,1.2582,HIGH,Sandstorm,Geração: 68.8 kW  Consumo: 46.0 kW  Saldo: +22.8 kW
28,1,-28.893149754684906,25.119950381560873,38.76212376163466,0.2499999999999999,0.6051338830640163,49.8,0.43,9.38,40.0,46.0,3.8,74.05,21.2,1.2847,HIGH,Sandstorm,Geração: 49.8 kW  Consumo: 46.0 kW  Saldo: +3.8 kW
29,1,-29.36542846339207,24.42296486255725,40.20031159770164,0.3705904774487397,0.594588209943182,69.79,0.66,29.14,40.0,46.0,23.79,76.43,20.0,1.1561,HIGH,Sandstorm,Geração: 69.8 kW  Consumo: 46.0 kW  Saldo: +23.8 kW
30,1,-29.37906136361422,24.921579210244936,40.577558485694794,0.5,0.5954138872893588,71.85,0.89,30.96,40.0,46.0,25.85,79.01,21.68,1.1823,HIGH,Sandstorm,Geração: 71.8 kW  Consumo: 46.0 kW  Saldo: +25.8 kW
31,1,-29.802071573263706,24.72765479084306,40.46986990199372,0.6294095225512605,0.5767419795967685,71.36,1.12,30.24,40.0,46.0,25.36,81.55,23.41,1.2092,HIGH,Sandstorm,Geração: 71.4 kW  Consumo: 46.0 kW  Saldo: +25.4 kW
32,1,-29.7754697241663,25.605739695070767,38.953024760344476,0.75,0.5700909756522459,50.66,1.29,9.38,40.0,46.0,4.66,82.01,24.87,1.221,HIGH,Sandstorm,Geração: 50.7 kW  Consumo: 46.0 kW  Saldo: +4.7 kW
33,1,-29.406575922907127,26.129596845913206,39.72166709975915,0.8535533905932737,0.5616637187895379,50.87,1.49,9.38,40.0,46.0,4.87,82.5,23.57,1.1062,HIGH,Sandstorm,Geração: 50.9 kW  Consumo: 46.0 kW  Saldo: +4.9 kW
34,1,-29.316978654406505,25.445881034097546,40.101187926263044,0.9330127018922194,0.5531447157544988,51.02,1.65,9.38,40.0,46.0,5.02,83.0,22.41,1.0062,HIGH,Sandstorm,Geração: 51.0 kW  Consumo: 46.0 kW  Saldo: +5.0 kW
